NIB,NPWP,NAMA_PERUSAHAAN,ALAMAT,STATUS_NIB_OSS,STATUS_NIB_CEISA,ID_CEISA,SOURCE
1043321819600.0,13.389.083.8-637.940,PT SAEFULLAH,Jl. Dr. Djunjunan No. 8,AKTIF,AKTIF,C000000,OSS_CEISA
6542351161559.0,40.781.618.4-959.310,CV MAYASARI SUARTINI,Gg. Merdeka No. 94,AKTIF,AKTIF,C000001,OSS_CEISA
4131647525534.0,19.283.276.4-835.030,UD JAILANI ISWAHYUDI,Gg. Sentot Alibasa No. 4,AKTIF,AKTIF,C000002,OSS_CEISA
6413953767242.0,38.849.696.5-328.710,PERUM TARIHORAN PERSERO TBK,Jl. PHH. Mustofa No. 316,AKTIF,AKTIF,C000003,OSS_CEISA
2269166978480.0,18.451.462.7-048.281,UD ZULAIKA YULIARTI,Jl. Jamika No. 64,AKTIF,AKTIF,C000004,OSS_CEISA
8932528809570.0,15.430.391.1-718.227,UD HARYANTO PRABOWO TBK,Gang H.J Maemunah No. 24,AKTIF,AKTIF,C000005,OSS_CEISA
4896383465787.0,13.315.098.3-930.103,PERUM WACANA TARIHORAN PERSERO TBK,Jalan Cikapayang No. 226,AKTIF,AKTIF,C000006,OSS_CEISA
518347382997.0,37.631.165.6-670.106,PERUM ANGGRIAWAN PERSERO TBK,Jalan PHH. Mustofa No. 27,AKTIF,AKTIF,C000007,OSS_CEISA
1333872624731.0,78.108.013.2-677.360,PERUM SUDIATI PERSERO TBK,Jalan R.E Martadinata No. 0,AKTIF,AKTIF,C000008,OSS_CEISA
6064746872343.0,09.805.009.7-882.081,PT PERMADI PURNAWATI,Gg. Cikutra Timur No. 2,AKTIF,AKTIF,C000009,OSS_CEISA
1913619399091.0,69.985.435.3-462.475,CV NAMAGA PANGESTU TBK,Gang M.T Haryono No. 13,AKTIF,AKTIF,C000010,OSS_CEISA
799118384251.0,35.427.849.8-084.124,PERUM PRASETYA ARDIANTO,Jl. Cikutra Timur No. 518,AKTIF,AKTIF,C000011,OSS_CEISA
1824493534874.0,01.640.052.4-278.680,CV KUSMAWATI WASITA PERSERO TBK,Gg. Setiabudhi No. 67,AKTIF,AKTIF,C000012,OSS_CEISA
1280598262045.0,05.331.586.9-232.260,CV NAINGGOLAN NASYIAH,Gg. K.H. Wahid Hasyim No. 73,AKTIF,AKTIF,C000013,OSS_CEISA
