NIB_MATCH,NAMA_PERSEROAN_CLEAN,NPWP_CLEAN,NAMA_PERUSAHAAN_CLEAN,NPWP_CLEAN_CEISA,ID_PERUSAHAAN,NPWP_MATCH,NIB_CEISA
1043321819600.0,PT SAEFULLAH,,PT SAEFULLAH,,C000000,13.389.083.8-637.940,1043321819600
6542351161559.0,CV MAYASARI SUARTINI,,CV MAYASARI SUARTINI,,C000001,40.781.618.4-959.310,6542351161559
4131647525534.0,UD JAILANI ISWAHYUDI,,UD JAILANI ISWAHYUDI,,C000002,19.283.276.4-835.030,4131647525534
6413953767242.0,PERUM TARIHORAN PERSERO TBK,,PERUM TARIHORAN PERSERO TBK,,C000003,38.849.696.5-328.710,6413953767242
2269166978480.0,UD ZULAIKA YULIARTI,,UD ZULAIKA YULIARTI,,C000004,18.451.462.7-048.281,2269166978480
8932528809570.0,UD HARYANTO PRABOWO TBK,,UD HARYANTO PRABOWO TBK,,C000005,15.430.391.1-718.227,8932528809570
4896383465787.0,PERUM WACANA TARIHORAN PERSERO TBK,,PERUM WACANA TARIHORAN PERSERO TBK,,C000006,13.315.098.3-930.103,4896383465787
518347382997.0,PERUM ANGGRIAWAN PERSERO TBK,,PERUM ANGGRIAWAN PERSERO TBK,,C000007,37.631.165.6-670.106,518347382997
1333872624731.0,PERUM SUDIATI PERSERO TBK,,PERUM SUDIATI PERSERO TBK,,C000008,78.108.013.2-677.360,1333872624731
6064746872343.0,PT PERMADI PURNAWATI,,PT PERMADI PURNAWATI,,C000009,09.805.009.7-882.081,6064746872343
1913619399091.0,CV NAMAGA PANGESTU TBK,,CV NAMAGA PANGESTU TBK,,C000010,69.985.435.3-462.475,1913619399091
799118384251.0,PERUM PRASETYA ARDIANTO,,PERUM PRASETYA ARDIANTO,,C000011,35.427.849.8-084.124,799118384251
1824493534874.0,CV KUSMAWATI WASITA PERSERO TBK,,CV KUSMAWATI WASITA PERSERO TBK,,C000012,01.640.052.4-278.680,1824493534874
1280598262045.0,CV NAINGGOLAN NASYIAH,,CV NAINGGOLAN NASYIAH,,C000013,05.331.586.9-232.260,1280598262045
5634216073375.0,PT PRAKASA,,PT PRAKASA,,C000014,43.303.654.1-458.685,5634216073375
1429401965569.0,PERUM WIJAYANTI LAKSITA PERSERO TBK,,PERUM WIJAYANTI LAKSITA PERSERO TBK,,C000015,81.693.406.0-883.561,1429401965569
9514846564823.0,PT MELANI HUTAPEA,,PT MELANI HUTAPEA,,C000016,66.299.468.0-443.699,9514846564823
7773872148951.0,PERUM PRATIWI NURDIYANTI TBK,,PERUM PRATIWI NURDIYANTI TBK,,C000017,34.332.003.7-917.693,7773872148951
7632016328708.0,PT NASYIAH,,PT NASYIAH,,C000018,31.727.889.5-798.687,7632016328708
7743487347143.0,PERUM SALAHUDIN,,PERUM SALAHUDIN,,C000019,45.581.223.6-231.665,7743487347143
6036690967054.0,UD HABIBI ISWAHYUDI TBK,,UD HABIBI ISWAHYUDI TBK,,C000020,66.889.373.4-670.656,6036690967054
7298069901627.0,UD PADMASARI,,UD PADMASARI,,C000021,20.465.375.5-646.417,7298069901627
8053100330923.0,PERUM MANGUNSONG PRAKASA PERSERO TBK,,PERUM MANGUNSONG PRAKASA PERSERO TBK,,C000022,27.193.745.2-991.241,8053100330923
4966319314919.0,PD PRASETYA,,PD PRASETYA,,C000023,05.865.185.0-671.657,4966319314919
,PERUM SITOMPUL DABUKKE PERSERO TBK,,PERUM SITOMPUL DABUKKE PERSERO TBK,,C000024,14.737.996.5-075.273,6284987769453
4549480831367.0,UD GUNAWAN FUJIATI,,UD GUNAWAN FUJIATI,,C000025,83.777.014.3-634.957,4549480831367
5685574443135.0,UD PUSPASARI MAHENDRA PERSERO TBK,,UD PUSPASARI MAHENDRA PERSERO TBK,,C000026,18.233.749.8-941.343,5685574443135
2408240084271.0,PERUM SUDIATI YOLANDA TBK,,PERUM SUDIATI YOLANDA TBK,,C000027,09.477.752.0-471.167,2408240084271
,UD PRASETYO NAPITUPULU,,UD PRASETYO NAPITUPULU,,C000028,93.867.749.6-499.091,9022941318699
3412328120679.0,CV MAULANA YOLANDA PERSERO TBK,,CV MAULANA YOLANDA PERSERO TBK,,C000029,74.034.471.3-493.618,3412328120679
2421024994717.0,PD WIDIASTUTI NURAINI,,PD WIDIASTUTI NURAINI,,C000030,46.488.771.9-065.940,2421024994717
3990490278742.0,UD FARIDA HUTAGALUNG,,UD FARIDA HUTAGALUNG,,C000031,96.717.565.5-125.674,3990490278742
8071545168087.0,PD WASITA,,PD WASITA,,C000032,60.385.977.0-348.247,8071545168087
1093248086131.0,PD ANDRIANI PERSERO TBK,,PD ANDRIANI PERSERO TBK,,C000033,71.274.846.7-737.826,1093248086131
9821465840449.0,PD RAHAYU,,PD RAHAYU,,C000034,97.278.755.8-867.533,9821465840449
,PD SETIAWAN TBK,,PD SETIAWAN TBK,,C000035,51.718.702.6-217.459,3605766270289
1586578091343.0,CV DAMANIK OKTAVIANI,,CV DAMANIK OKTAVIANI,,C000036,16.117.240.0-504.556,1586578091343
3869222196937.0,CV SARAGIH,,SARAGIH,,C000037,92.374.740.7-482.175,3869222196937
6474367136959.0,PERUM LAZUARDI PERSERO TBK,,PERUM LAZUARDI PERSERO TBK,,C000038,44.064.090.9-743.953,6474367136959
